howfundId,tejId,FRId,FCId,FDId
how418,T0737D,ESI015,,
how419,T0737E,,,
how420,T0737F,ESI017,,
how421,T0737G,,,
how422,T0737H,ESI019,,
how423,T0737J,,,
how424,T0739A,ESI022,,
how425,T0739Y,ESI021,,
how426,T0746A,ESI023,,
how427,T0746B,,,
how428,T0747A,ESI025,,
how429,T0747B,,,
how430,T0747C,ESI027,,
how431,T0747D,,,
how432,T0747E,ESI029,,
how433,T0747F,,,
how434,T0747G,ESI031,,
how435,T0747H,,,
how436,T0747J,ESI033,,
how437,T0747K,,,
how438,T0748A,ESI035,,
how439,T0748B,,,
how440,T0748C,ESI037,,
how441,T0748D,,,
how442,T0748E,ESI039,,
how443,T0748F,,,
how444,T0748G,ESI041,,
how445,T0748H,,,
how446,T0748J,ESI043,,
how447,T0748K,,,
how448,T0750A,,,
how449,T0750B,,,
how450,T0750C,,,
how451,T0750D,,,
how452,T0750E,,,
how453,T0750F,,,
how454,T0802Y,Pru019,,
how455,T0803Y,Pru015,,
how456,T0804Y,Pru016,,
how457,T0805Y,,,
how458,T0806Y,Pru017,,
how459,T0807Y,Pru025,,
how460,T0808Y,Pru012,,
how461,T0809Y,Pru013,,
how462,T0810Y,Pru014,,
how463,T0811Y,,,
how464,T0812Y,Pru023,,
how465,T0814Y,Pru024,,
how466,T0815Y,Pru021,,
how467,T0816B,Pru031,,
how468,T0816Y,Pru022,,
how469,T0817Y,Pru018,,
how470,T0824Y,Pru008,,
how471,T0825Y,Pru009,,
how472,T0826Y,Pru010,,
how473,T0827Y,Pru011,,
how474,T0828Y,Pru020,,
how475,T0830Y,Pru026,,
how476,T0832B,Pru032,,
how477,T0832C,Pru033,,
how478,T0832Y,Pru027,,
how479,T0835B,,,
how480,T0835Y,Pru030,,
how481,T0836B,Pru037,,
how482,T0836C,Pru038,,
how483,T0836Y,Pru004,,
how484,T0837A,Pru039,,
how485,T0837B,,,
how486,T0837C,Pru041,,
how487,T0837D,,,
how488,T0840A,Pru028,,
how489,T0840B,,,
how490,T0860A,Pru002,,
how491,T0860B,,,
how492,T0870A,Pru005,,
how493,T0870B,Pru034,,
how494,T0890A,Pru006,,
how495,T0890B,,,
how496,T0890C,,,
how497,T0890D,,,
how498,T0901Y,UNI024,,
how499,T0902Y,UNI001,,
how500,T0903Y,UNI026,,
how501,T0904Y,UNI027,,
how502,T0905Y,UNI028,,
how503,T0906Y,UNI029,,
how504,T0909Y,UNI025,,
how505,T0910Y,UNI023,,
how506,T0911Y,UNI002,,
how507,T0912Y,UNI003,,
how508,T0920Y,UNI020,,
how509,T0921Y,UNI021,,
how510,T0922Y,UNI022,,
how511,T0923Y,UNI004,,
how512,T0924Y,UNI005,,
how513,T0925Y,UNI006,,
how514,T0927Y,UNI007,,
how515,T0928A,UNI008,,
how516,T0928B,,,
how517,T0931Y,UNI010,,
how518,T0932A,UNI011,,
how519,T0932B,,,
how520,T0932C,UNI013,,
how521,T0932D,,,
how522,T0932E,UNI015,,
how523,T0932F,,,
how524,T0933A,UNI017,,
how525,T0933B,UNI018,,
how526,T0933C,UNI019,,
how527,T1001Y,FUB009,,
how528,T1004Y,FUB006,,
how529,T1005Y,FUB007,,
how530,T1006Y,,,
how531,T1008Y,FUB008,,
how532,T1010Y,FUB011,,
how533,T1011Y,FUB004,,
how534,T1012Y,FUB005,,
how535,T1017Y,FUB010,,
how536,T1026B,FUB032,,
how537,T1026Y,FUB031,,
how538,T1028Y,FUB003,,
how539,T1034A,FUB012,,
how540,T1034B,,,
how541,T1039A,FUB014,,
how542,T1039B,,,
how543,T1039C,,,
how544,T1041A,FUB021,,
