基金碼,年月日,幣別,淨值(元),市價(元),溢(折)價(元),溢(折)價率%,淨值變動率%-日,淨值變動率%-週,近一個月變動率%,近三個月變動率%,近半年變動率%,近九個月變動率%,近一年變動率%,近二年變動率%,近三年變動率%,近四年變動率%,近五年變動率%,近六年變動率%,今年以來變動率%,成立以來變動率%,與上半年底比變動率%,與上月底比變動率%,與上季底比變動率%,與上週底比變動率%,與前二年底比變動率%,與前三年底比變動率%,與前四年底比變動率%,與前五年底比變動率%,基金統編,TEJ分類碼,
00663L 國泰臺灣加權正2,2016-08-31 00:00:00,NTD,21.6,21.65,0.05,0.231481,-1.324806,0.465116,3.151862,None,None,None,None,None,None,None,None,None,None,8,None,3.151862,None,-2.306649,None,None,None,None,42404264,1152,
00664R 國泰臺灣加權反1,2016-08-31 00:00:00,NTD,19.14,19.12,-0.02,-0.104493,0.630915,-0.260552,-1.846154,None,None,None,None,None,None,None,None,None,None,-4.3,None,-1.846154,None,1.10935,None,None,None,None,42404258,1153,
00665L FB H股正2,2016-08-31 00:00:00,NTD,22.48,22.49,0.01,0.044484,-0.618921,1.033708,12.343828,None,None,None,None,None,None,None,None,None,None,12.4,None,12.343828,None,0.536673,None,None,None,None,42404573,1233,
00666R FB H股反1,2016-08-31 00:00:00,NTD,18.74,18.65,-0.09,-0.480256,0.374933,-0.636267,-6.3,None,None,None,None,None,None,None,None,None,None,-6.3,None,-6.3,None,-0.266099,None,None,None,None,42404567,1233,
008201 BP上證50,2016-08-31 00:00:00,NTD,85.0214,84.6,-0.42,-0.49564,0.371162,-0.498436,2.383736,7.697004,15.093331,-3.535717,2.338878,46.365035,44.523922,51.512786,33.328838,None,-5.057381,11.066492,4.447611,2.383736,4.447611,0.507257,-12.892819,45.394629,33.661271,43.631062,None,None,
01001T 土銀富邦R1,2016-08-31 00:00:00,NTD,17.9,16.1,-1.8,-10.055866,0,0.055897,0.167879,0.448934,-1.498095,-1.019931,-0.590981,1.084835,4.868763,18.32313,45.639386,81.910644,-1.603727,157.491851,0.223964,0.167879,0.223964,0.055897,0.443026,4.032488,8.217696,22.388951,99974193,None,
01002T 土銀國泰R1,2016-08-31 00:00:00,NTD,17.67,17,-0.67,-3.791737,0.056625,0.056625,0.226886,0.683761,0.940187,1.561879,12.524514,19.234759,36.614759,54.415236,78.187845,100.599984,1.334925,156.264294,0.454804,0.226886,0.454804,0.056625,13.94027,21.055381,39.263847,57.726733,48581505,None,
01003T 兆豐新光R1,2016-08-31 00:00:00,NTD,17.47,13.81,-3.66,-20.9502,0,0,0.172018,0.460035,0.865929,1.32415,1.902815,11.46741,20.082712,27.704523,46.772317,64.372295,1.209205,131.490939,0.287026,0.172018,0.287026,0,10.656243,19.087757,26.773604,36.858022,48690150,None,
01004T 土銀富邦R2,2016-08-31 00:00:00,NTD,14.89,13.85,-1.04,-6.984553,0,0.067204,0.201884,0.812458,0.352065,1.023766,1.533463,4.292291,8.687072,18.072642,33.951146,45.039625,0.754009,101.586191,0.540176,0.201884,0.540176,0,3.377358,7.756181,12.451271,32.636135,48731223,None,
01007T 兆豐國泰R2,2016-08-31 00:00:00,NTD,18.19,16.1,-2.09,-11.48983,0,0.055006,0.220386,0.608407,0.716154,-1.96532,-1.269842,5.066697,14.38032,30.663014,46.05296,64.206242,-2.121675,137.056303,0.386313,0.220386,0.386313,0,4.203741,13.420361,29.378473,44.541979,48798595,None,
CHI99 TEJ 中國概念股,2016-08-31 00:00:00,None,2778.567,2778.57,0,0,-1.3117,-0.114855,-0.185004,5.909521,8.030032,5.186793,0.1131,-12.255788,12.498968,19.633037,23.217776,17.093809,6.295723,None,3.725517,-0.185004,3.725517,-1.465062,None,None,None,None,None,None,
ES22 施羅德四年主權B,2016-08-31 00:00:00,NTD,10.0587,None,None,None,-0.052663,None,None,None,None,None,None,None,None,None,None,None,None,0.587,None,None,None,0.590018,None,None,None,None,42440509A,3511,
ES23 施羅德四年主權A$,2016-08-31 00:00:00,USD,9.9811,None,None,None,-0.047067,None,None,None,None,None,None,None,None,None,None,None,None,-0.189,None,None,None,-0.186006,None,None,None,None,42440509B,3511,
ES24 施羅德四年主權B$,2016-08-31 00:00:00,USD,9.9811,None,None,None,-0.047067,None,None,None,None,None,None,None,None,None,None,None,None,-0.189,None,None,None,-0.186006,None,None,None,None,42440509C,3511,
FP56 富邦全球不動產 $,2016-08-31 00:00:00,USD,0.29,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-97.1,None,None,None,None,None,None,None,None,99991502B,7100,
FRMSA 寶島指數,2016-08-31 00:00:00,None,10483.82,10483.82,0,0,-0.4083,0.564414,0.839025,5.714574,7.267706,8.288823,11.702307,-4.237674,None,None,None,None,7.981431,None,4.346311,0.839025,4.346311,-0.597525,None,None,None,None,None,None,
FRMSR 寶島報酬指數,2016-08-31 00:00:00,None,11635.66,11635.66,0,0,-0.3689,0.705897,1.776772,9.606485,11.223204,12.28189,16.236644,3.264976,None,None,None,None,11.963165,None,7.076199,1.776772,7.076199,-0.511395,None,None,None,None,None,None,
FT30 富蘭亞太平衡A,2016-08-31 00:00:00,NTD,9.99,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,-0.1,None,None,None,None,None,None,None,None,42407614A,2321,
FT3001 富蘭亞太平衡B,2016-08-31 00:00:00,NTD,9.99,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,-0.1,None,None,None,None,None,None,None,None,42407614B,2321,
FT31 富蘭亞太平衡A$,2016-08-31 00:00:00,USD,10.01,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,0.1,None,None,None,None,None,None,None,None,42407614C,2321,
FT3101 富蘭亞太平衡B$,2016-08-31 00:00:00,USD,10.01,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,0.1,None,None,None,None,None,None,None,None,42407614D,2321,
FT32 富蘭亞太平衡BC,2016-08-31 00:00:00,RMB,10.01,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,0.1,None,None,None,None,None,None,None,None,42407614E,2321,
M2300 電子類指數,2016-08-31 00:00:00,None,370.04,370.04,0,0,-0.2023,0.77891,0.965894,8.752131,10.443217,13.589342,17.626117,-0.368865,26.147133,33.492063,34.116197,24.161997,12.910017,None,5.454545,0.965894,5.454545,-0.684398,None,None,None,None,None,None,
M23TR 電子報酬,2016-08-31 00:00:00,None,557.54,557.54,0,0,-0.1701,0.883002,1.78917,12.727714,14.482249,17.743707,22.557812,7.839307,40.80004,53.94003,61.231926,55.476854,17.039276,None,7.645673,1.78917,7.645673,-0.607897,None,None,None,None,None,None,
M2800 金融保險類指數,2016-08-31 00:00:00,None,998.06,998.06,0,0,-0.9065,2.168127,2.317905,4.811812,8.088848,-2.520828,-6.507545,-10.668158,5.106522,25.56741,5.528828,16.815506,0.597704,None,6.47109,2.317905,6.47109,0.350905,None,None,None,None,None,None,
M28TR 金融報酬,2016-08-31 00:00:00,None,1346.3,1346.3,0,0,-0.9068,2.168122,4.045751,9.372588,12.791341,1.719631,-2.408791,-3.24134,17.258198,43.421753,23.075657,39.015953,4.974659,None,9.163295,4.045751,9.163295,0.350328,None,None,None,None,None,None,
MSB79 MSCI全球,2016-08-31 00:00:00,None,482.25,482.25,0,0,-0.200737,-0.066312,0.458704,3.221318,10.080121,0.676395,4.589126,3.205855,21.881871,41.426435,52.427461,60.14678,2.912932,None,4.507531,0.458704,4.507531,0.228619,None,None,None,None,None,None,
