fundID,net
ABGBPI2USD,12.51
ABGBPIEUR,7.45
ABGBPITUSD,13.63
ABGBPIUSD,8.3
ABGBPS12USD,15.61
ABGBPSAUSD,94.34
ABGCHAEUR,34.38
ABGCHAUSD,38.29
ABGCHBEUR,28.5
ABGCHBUSD,31.74
ABGCHCEUR,32.96
ABGCHCUSD,36.7
ABGCHIEUR,39.79
ABGCHIUSD,44.31
ABGCHS1EUR,43.32
ABGCHS1USD,48.24
ABGCPA2EUR,17.59
ABGCPA2USD,19.59
ABGCPAEUR,13.85
ABGCPAUSD,15.42
ABGCPB2EUR,15.67
ABGCPB2USD,17.45
ABGCPBEUR,13.76
ABGCPBUSD,15.32
ABGCPC2EUR,16.72
ABGCPC2USD,18.62
ABGCPCEUR,13.86
ABGCPCUSD,15.43
ABGCPIEUR,14.03
ABGCPIUSD,15.62
ABGEBAEUR,13.06
ABGEBAUSD,14.54
ABGEBBEUR,11.48
ABGEBBUSD,12.79
ABGEBCEUR,12.45
ABGEBCUSD,13.87
ABGEBIEUR,14.51
ABGEBIUSD,16.16
ABGEBS1EUR,15.39
ABGEBS1USD,17.14
ABGEBSUSD,18.44
ABGGTAEUR,47.67
ABGGTAUSD,53.09
ABGGTBEUR,37.29
ABGGTCEUR,44.43
ABGGTCUSD,49.48
ABGGTIEUR,55.76
ABGGTIUSD,62.1
ABGGTS1EUR,59.72
ABGGTS1USD,66.51
ABGGTSDUSD,93.44
ABGHYA2EUR,12.26
ABGHYA2HEDGE,22.02
ABGHYA2USD,13.65
ABGHYAAAUDH,12.58
ABGHYAAGBPH,12.53
ABGHYAAUSD,12.71
ABGHYAAZARH,84.32
ABGHYAEUR,3.76
ABGHYATAUDH,14.65
ABGHYATCADH,13.13
ABGHYATEUR,3.74
ABGHYATHEDGE,14.54
ABGHYATNZDH,13.42
ABGHYATUSD,4.16
ABGHYAUSD,4.19
ABGHYB2EUR,18.46
ABGHYB2HEDGE,20.59
ABGHYB2USD,20.56
ABGHYBAAUDH,12.23
ABGHYBAUSD,12.36
ABGHYBAZARH,81.69
ABGHYBEUR,3.76
ABGHYBTAUDH,14.62
ABGHYBTEUR,3.8
ABGHYBTHEDGE,14.57
ABGHYBTUSD,4.23
ABGHYBUSD,4.19
ABGHYC2EUR,17.64
ABGHYC2HEDGE,17.8
ABGHYC2USD,19.65
ABGHYCEUR,3.76
ABGHYCUSD,4.19
ABGHYI2EUR,7.61
ABGHYI2HEDGE,22.72
ABGHYI2USD,8.48
ABGHYIAAUDH,15.56
ABGHYIEUR,3.76
ABGHYITNZDH,15.69
ABGHYITUSD,13.09
ABGHYIUSD,4.19
ABGHYS1DEUR,15.47
ABGHYS1DUSD,17.23
ABGHYS1EUR,20.2
ABGHYS1USD,22.5
ABGHYSAUSD,88.47
ABGTRAAUDH,22.99
ABGTRAEUR,16.32
ABGTRAUSD,18.17
ABGTRBAUDH,21.65
ABGTRBEUR,13.37
ABGTRBUSD,14.89
ABGTRCEUR,16.32
ABGTRCUSD,18.18
ABGTRIEUR,19.16
ABGTRIUSD,21.34
ABGTRS1EUR,18.44
ABGTRS1USD,20.54
ABGTRSUSD,21.52
ABGVPADAUDH,13.03
ABGVPADHEDGE,13.27
ABGVPADUSD,13.02
ABGVPADZARH,85.78
ABGVPAEUR,12.39
ABGVPAUSD,13.8
ABGVPBDAUDH,13.03
ABGVPBDHEDGE,13.25
ABGVPBDUSD,13.22
ABGVPBDZARH,85.95
ABGVPBEUR,10.67
ABGVPBUSD,11.88
ABGVPCEUR,11.7
ABGVPCUSD,13.03
